id,url,region,price,type
7038475181,https://boston.craigslist.org/gbs/apa/d/cambridge-sparkling-2-bedroom-2/7038475181.html,boston,3431,apartment
7038428664,https://boston.craigslist.org/gbs/apa/d/newton-lovely-first-floor-in-house-on/7038428664.html,boston,2200,apartment
7050744256,https://boston.craigslist.org/sob/apa/d/quincy-wollaston-apartment-with/7050744256.html,boston,1795,apartment
7050094410,https://boston.craigslist.org/nos/apa/d/peabody-renovated-2-bed-in-peabody-1750/7050094410.html,boston,1750,apartment
7049001015,https://boston.craigslist.org/sob/apa/d/scituate-fully-furnished-efficiencies/7049001015.html,boston,875,apartment
7048903337,https://boston.craigslist.org/nwb/apa/d/haverhill-large-bright-3-bedroom/7048903337.html,boston,1450,apartment
7048902762,https://boston.craigslist.org/gbs/apa/d/lawrence-dont-just-rent-rent-with-style/7048902762.html,boston,1815,apartment
7041320300,https://boston.craigslist.org/sob/apa/d/quincy-location-location-location/7041320300.html,boston,1650,apartment
7041308432,https://boston.craigslist.org/nwb/apa/d/haverhill-updated-2-bedroom/7041308432.html,boston,1225,apartment
7041308132,https://boston.craigslist.org/bmw/apa/d/arlington-spacious-3-bedroom-steps-to/7041308132.html,boston,2500,apartment
7041307510,https://boston.craigslist.org/gbs/apa/d/chelsea-500-off-dec-free-luxury-living/7041307510.html,boston,1821,apartment
7030844353,https://southcoast.craigslist.org/apa/d/somerset-mud-room-with-closet-and/7030844353.html,south coast,1000,house
7038969172,https://boston.craigslist.org/nos/apa/d/newburyport-located-three-door-down/7038969172.html,boston,2150,cottage/cabin
7038810769,https://boston.craigslist.org/gbs/apa/d/cambridge-stunning-strawberry-hill/7038810769.html,boston,2000,house
7038651897,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-2bd-1ba-1116sqft-3800/7038651897.html,boston,3800,apartment
7039271977,https://boston.craigslist.org/gbs/apa/d/boston-beaconhillcondoscom-75-real/7039271977.html,boston,4000,apartment
7039254715,https://boston.craigslist.org/gbs/apa/d/waltham-2b1b1000-discountheat-inclno-fee/7039254715.html,boston,2200,condo
7040481077,https://capecod.craigslist.org/apa/d/dennis-port-year-round-2-bedroom-1-bath/7040481077.html,cape cod / islands,1500,apartment
7040116859,https://capecod.craigslist.org/apa/d/studio-apartment/7040116859.html,cape cod / islands,900,cottage/cabin
7033898259,https://capecod.craigslist.org/apa/d/beautiful-apartment/7033898259.html,cape cod / islands,1900,apartment
7030698789,https://capecod.craigslist.org/apa/d/dennis-port-2-bedroom-apartment/7030698789.html,cape cod / islands,1600,apartment
7030433481,https://capecod.craigslist.org/apa/d/east-falmouth-year-round-rental-1700/7030433481.html,cape cod / islands,1700,apartment
7042432833,https://southcoast.craigslist.org/apa/d/fall-river-3-beds-unit-3n-4th-str-large/7042432833.html,south coast,950,apartment
